00,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів)
01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг"
02,Лісове господарство та лісозаготівлі
03,Рибне господарство
05,Добування кам'яного та бурого вугілля
06,Добування сирої нафти та природного газу
07,Добування металевих руд
08,Добування інших корисних копалин та розроблення кар'єрів
09,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів
10,Виробництво харчових продуктів
11,Виробництво напоїв
12,Виробництво тютюнових виробів
13,Текстильне виробництво
14,Виробництво одягу
15,"Виробництво шкіри, виробів зі шкіри та інших матеріалів"
16,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння"
17,Виробництво паперу та паперових виробів
18,"Поліграфічна діяльність, тиражування записаної інформації"
19,Виробництво коксу та продуктів нафтоперероблення
20,Виробництво хімічних речовин і хімічної продукції
21,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів
22,Виробництво гумових і пластмасових виробів
23,Виробництво іншої неметалевої мінеральної продукції
24,Металургійне виробництво
25,"Виробництво готових металевих виробів, крім машин і устатковання"
26,"Виробництво комп'ютерів, електронної та оптичної продукції"
27,Виробництво електричного устатковання
28,"Виробництво машин і устатковання, н.в.і.у."
29,"Виробництво автотранспортних засобів, причепів і напівпричепів"
30,Виробництво інших транспортних засобів
31,Виробництво меблів
32,Виробництво іншої продукції
33,Ремонт і монтаж машин і устатковання
35,"Постачання електроенергії, газу, пари та кондиційованого повітря"
36,"Забір, очищення та постачання води"
37,"Каналізація, відведення й очищення стічних вод"
38,"Збирання, оброблення й видалення відходів; відновлення матеріалів"
39,Інша діяльність щодо поводження з відходами
41,Будівництво будівель
42,Будівництво споруд
43,Спеціалізовані будівельні роботи
45,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт"
46,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами"
47,"Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами"
49,Наземний і трубопровідний транспорт
50,Водний транспорт
51,Авіаційний транспорт
52,Складське господарство та допоміжна діяльність у сфері транспорту
53,Поштова та кур'єрська діяльність
55,Тимчасове розміщування
56,Діяльність із забезпечення стравами та напоями
58,Видавнича діяльність
59,"Виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів"
60,Діяльність у сфері радіомовлення та телевізійного мовлення
61,Телекомунікації (електрозв'язок)
62,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність"
63,Надання інформаційних послуг
64,"Надання фінансових послуг, крім страхування та пенсійного забезпечення"
65,"Страхування, перестрахування та недержавне пенсійне забезпечення, крім обов'язкового соціального страхування"
66,Допоміжна діяльність у сферах фінансових послуг і страхування
68,Операції з нерухомим майном
69,Діяльність у сферах права та бухгалтерського обліку
70,Діяльність головних управлінь (хед-офісів); консультування з питань керування
71,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження
72,Наукові дослідження та розробки
73,Рекламна діяльність і дослідження кон'юнктури ринку
74,"Інша професійна, наукова та технічна діяльність"
75,Ветеринарна діяльність
77,"Оренда, прокат і лізинг"
78,Діяльність із працевлаштування
79,"Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність"
80,Діяльність охоронних служб та проведення розслідувань
81,Обслуговування будинків і територій
82,"Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги"
84,Державне управління й оборона; обов'язкове соціальне страхування
85,Освіта
86,Охорона здоров'я
87,Надання послуг догляду із забезпеченням проживання
88,Надання соціальної допомоги без забезпечення проживання
90,"Діяльність у сфері творчості, мистецтва та розваг"
91,"Функціювання бібліотек, архівів, музеїв та інших закладів культури"
92,Організування азартних ігор
93,"Діяльність у сфері спорту, організування відпочинку та розваг"
94,Діяльність громадських організацій
95,"Ремонт комп'ютерів, побутових виробів і предметів особистого вжитку"
96,Надання інших індивідуальних послуг
97,Діяльність домашніх господарств як роботодавців для домашньої прислуги
